trial,score,winrate,avg_end_hp,batch_size,c_puct,dirichlet_alpha,dirichlet_epsilon,grad_clip,hp_loss_coef,lr,num_simulations,temperature,weight_decay
0,1.2651,0.95,50.4125,128,2.35918,0.61124,0.37768,2.88003,0.43759,0.00065,256,0.57104,0.00061
1,1.2826,0.9625,51.2125,128,0.79549,0.9502,0.25655,1.14509,0.79916,0.00013,256,0.91466,8e-05
2,1.2463,0.9375,49.4125,128,2.49203,0.72787,0.11807,2.46664,0.6121,0.00025,256,1.16677,0.00017
3,1.2738,0.95,51.8125,256,1.22336,0.32796,0.23989,3.43899,0.4386,0.00098,256,0.74443,0.00095
4,1.2755,0.95,52.075,512,0.99834,0.97908,0.28145,2.60893,0.82099,0.00017,64,1.23926,2e-05
5,1.2163,0.9125,48.6125,128,1.38632,0.18455,0.27278,2.85462,0.41426,0.00011,256,1.4293,1e-05
6,1.2666,0.95,50.65,128,2.25167,0.76167,0.38866,1.71504,0.58651,0.0003,128,0.74875,1e-05
7,1.2314,0.925,49.025,256,2.08209,0.62315,0.36452,4.46496,0.84641,0.00071,192,1.19253,0.00025
9,1.248,0.9375,49.6875,512,2.92719,0.96257,0.10391,0.76718,0.02005,0.00245,192,0.9313,6e-05
10,1.252,0.9375,50.3125,128,1.62292,0.40795,0.20213,4.88272,0.08107,0.00226,128,0.95628,5e-05
11,1.2925,0.9625,52.8,256,0.7761,0.1139,0.16833,0.59878,0.96027,0.00042,64,1.49713,6e-05
12,1.2644,0.9375,52.3,256,0.80399,0.11299,0.16852,0.62716,0.99264,0.00039,64,1.39651,6e-05
13,1.273,0.95,51.6875,256,0.76897,0.45084,0.17968,1.47389,0.99099,0.0001,64,1.01607,0.00012
14,1.279,0.95,52.6375,256,1.17903,0.25116,0.32547,1.36697,0.77448,0.00046,64,0.57571,3e-05
15,1.2523,0.925,52.3625,512,1.6237,0.8672,0.22759,0.53234,0.6873,0.00133,256,1.49169,0.00012
16,1.2615,0.95,49.8375,128,0.75209,0.51165,0.15344,1.90323,0.87378,0.00016,64,1.31657,3e-05
17,1.293,0.9625,52.875,256,1.09314,0.8178,0.29317,1.12463,0.70269,0.00022,128,0.80946,0.00035
18,1.2798,0.95,52.7625,256,1.54846,0.32704,0.3175,2.05167,0.59605,0.00022,128,1.10376,0.00035
19,1.2774,0.95,52.3875,256,1.87618,0.79443,0.30601,0.98259,0.23877,0.00041,128,0.76648,0.00039
20,1.2644,0.95,50.3,256,1.06719,0.62643,0.1377,1.2942,0.93654,0.0003,128,1.31541,3e-05
21,1.2399,0.925,50.3875,256,1.34473,0.52916,0.20875,2.13776,0.72522,0.00056,192,0.50934,0.00021
22,1.279,0.95,52.6375,256,0.96733,0.89971,0.25475,1.04777,0.89038,0.00015,128,0.85009,0.00012
23,1.2751,0.95,52.0125,128,0.95256,0.71056,0.34179,0.97261,0.70614,0.0002,64,0.66418,7e-05
24,1.2656,0.95,50.5,512,1.16887,0.87106,0.28934,1.53333,0.78382,0.00013,256,1.06423,9e-05
25,1.2562,0.9375,50.9875,256,0.89356,0.8167,0.26135,0.53177,0.51944,0.00028,64,0.87145,0.00043
26,1.273,0.95,51.675,128,1.40011,0.92849,0.21251,1.17153,0.91541,0.00035,128,0.83873,2e-05
27,1.2598,0.9375,51.5625,256,1.10197,0.99906,0.34119,0.9041,0.67059,0.00021,256,0.66069,4e-05
28,1.2595,0.9375,51.525,256,1.28525,0.68605,0.29735,1.69723,0.80462,0.00012,192,0.97597,8e-05
